indicator_code,indicator_name,country,country_iso3,year,value,source,source_url
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Indonesia,IDN,2021,1.56007882983334,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/FP.CPI.TOTL.ZG?format=json&date=2015:2025&per_page=100
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Indonesia,IDN,2020,1.91983527270793,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/FP.CPI.TOTL.ZG?format=json&date=2015:2025&per_page=100
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Indonesia,IDN,2019,3.03058460941661,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/FP.CPI.TOTL.ZG?format=json&date=2015:2025&per_page=100
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Indonesia,IDN,2018,3.19834755924996,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/FP.CPI.TOTL.ZG?format=json&date=2015:2025&per_page=100
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Indonesia,IDN,2017,3.80879857691949,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/FP.CPI.TOTL.ZG?format=json&date=2015:2025&per_page=100
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Indonesia,IDN,2016,3.52580452815451,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/FP.CPI.TOTL.ZG?format=json&date=2015:2025&per_page=100
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Indonesia,IDN,2015,6.36312061196646,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/FP.CPI.TOTL.ZG?format=json&date=2015:2025&per_page=100
IT.NET.USER.ZS,Individuals using the Internet (% of population),Indonesia,IDN,2025,,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/IT.NET.USER.ZS?format=json&date=2015:2025&per_page=100
IT.NET.USER.ZS,Individuals using the Internet (% of population),Indonesia,IDN,2024,72.78075544,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/IT.NET.USER.ZS?format=json&date=2015:2025&per_page=100
IT.NET.USER.ZS,Individuals using the Internet (% of population),Indonesia,IDN,2023,69.20836554,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/IT.NET.USER.ZS?format=json&date=2015:2025&per_page=100
IT.NET.USER.ZS,Individuals using the Internet (% of population),Indonesia,IDN,2022,66.48461277,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/IT.NET.USER.ZS?format=json&date=2015:2025&per_page=100
IT.NET.USER.ZS,Individuals using the Internet (% of population),Indonesia,IDN,2021,62.10447842,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/IT.NET.USER.ZS?format=json&date=2015:2025&per_page=100
IT.NET.USER.ZS,Individuals using the Internet (% of population),Indonesia,IDN,2020,53.72649449,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/IT.NET.USER.ZS?format=json&date=2015:2025&per_page=100
IT.NET.USER.ZS,Individuals using the Internet (% of population),Indonesia,IDN,2019,47.6906489788375,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/IT.NET.USER.ZS?format=json&date=2015:2025&per_page=100
IT.NET.USER.ZS,Individuals using the Internet (% of population),Indonesia,IDN,2018,39.9046386385762,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/IT.NET.USER.ZS?format=json&date=2015:2025&per_page=100
IT.NET.USER.ZS,Individuals using the Internet (% of population),Indonesia,IDN,2017,32.335806250688,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/IT.NET.USER.ZS?format=json&date=2015:2025&per_page=100
IT.NET.USER.ZS,Individuals using the Internet (% of population),Indonesia,IDN,2016,25.447353701827,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/IT.NET.USER.ZS?format=json&date=2015:2025&per_page=100
IT.NET.USER.ZS,Individuals using the Internet (% of population),Indonesia,IDN,2015,22.062742603379,World Bank Open Data API,https://api.worldbank.org/v2/country/IDN/indicator/IT.NET.USER.ZS?format=json&date=2015:2025&per_page=100
